zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,country
501,UNIQUE,Holtsville,,I R S Service Center,NY,Suffolk County,America/New_York,631,US
544,UNIQUE,Holtsville,,Irs Service Center,NY,Suffolk County,America/New_York,631,US
601,STANDARD,Adjuntas,,"Colinas Del Gigante, Jard De Adjuntas, Urb San Joaquin",PR,Adjuntas,America/Puerto_Rico,"787,939",US
602,STANDARD,Aguada,,"Alts De Aguada, Bo Guaniquilla, Comunidad Las Flores, Ext Los Robles, Urb Isabel La Catolica",PR,,,787,US
603,STANDARD,Aguadilla,Ramey,"Bda Caban, Bda Esteves, Bo Borinquen, Bo Ceiba Baja, Ext El Prado, Ext Marbella, Repto Jimenez, Repto Juan Aguiar, Repto Lopez, Repto Tres Palmas, Sect Las Villas, Urb Borinquen, Urb El Prado, Urb Esteves, Urb Garcia, Urb Las Americas, Urb Las Casitas Country Club, Urb Maleza Gdns, Urb Marbella, Urb Ramey, Urb Rubianes, Urb San Carlos, Urb Santa Marta, Urb Victoria, Villa Alegria, Villa Linda, Villa Lydia, Villa Universitaria, Villas De Almeria, Vista Alegre, Vista Verde",PR,Aguadilla,America/Puerto_Rico,787,US
604,PO BOX,Aguadilla,Ramey,,PR,,,,US
605,PO BOX,Aguadilla,,,PR,,,,US
606,STANDARD,Maricao,,Urb San Juan Bautista,PR,Maricao,America/Puerto_Rico,"787,939",US
610,STANDARD,Anasco,,"Brisas De Anasco, Est De Valle Verde, Jard De Anasco, Paseo Del Valle, Repto Daguey, Urb San Antonio",PR,,,787,US
611,PO BOX,Angeles,,,PR,,,,US
612,STANDARD,Arecibo,,"Alt De Juncos, Alt De San Felipe, Bda Duhamel, Bo El Pasaje, Bo Islote, Bo Islote Ii, Bo Jarealitos, Bo Obrero, Bo Santana, Comunidad Buenos Aires, Est De Arecibo, Est De Balseiro, Ext Marisol, Ext Tanama, Ext Villa Los Santos I, Ext Villa Los Santos Ii, Hacienda Toledo, Jard De Arecibo, Jard De San Rafael, Parc Mattey, Parc Navas, Parc Perez, Parc Rodriguez Olmo, Parq De Jardines, Paseos Reales, Repto Marquez, Repto San Jose, Repto San Juan, Sect Abra, Sect El Cano, Sect Las Animas, Sect Muelle, Urb Arecibo Gdns, Urb College Park Iv, Urb Costas Del Atlantico, Urb El Paraiso, Urb Factor, Urb Garcia, Urb Garden View, Urb La Mucura, Urb Las Brisas, Urb Los Llanos, Urb Los Pinos, Urb Los Pinos Ii, Urb Marisol, Urb Martell, Urb Ocean Vw, Urb Radioville, Urb Regional, Urb San Daniel, Urb San Felipe, Urb San Lorenzo, Urb Tanama, Urb University Gdns, Urb Victor Rojas 1, Urb Victor Rojas 2, Urb Villamar, Urb Zeno Gandia, Valle Escondido, Villa Los Santos, Villa Lucia, Villa Serena, Villa Toledo, Villas Del Capitan, Villas Del Sol, Vista Azul, Vista Del Atlantico",PR,Arecibo,America/Puerto_Rico,787,US
613,PO BOX,Arecibo,,,PR,,,,US
614,PO BOX,Arecibo,,,PR,,,,US
616,STANDARD,Bajadero,,Brisas Del Valle,PR,Arecibo,America/Puerto_Rico,,US
617,STANDARD,Barceloneta,,"Bda Catalana, Brisas De Llanadas, Brisas Del Monte, Est De Barceloneta, Est De Florida, Ext Est De Imbery, Ext Parc Punta Palmas, Parc Garrochales, Parc Imbery, Parc Magueyes, Parc Palenque, Parc Punta Palmas, Parc Tiburon, Repto Las Llanadas, Urb Cataluna, Urb Cimarrona Ct, Urb Las Delicias, Urb Las Praderas, Urb Ortega, Urb Plazuela Estates, Urb Sol Naciente, Villa Barcelona, Villa Central, Villa Georgetti, Villas De La Sabana",PR,Barceloneta,America/Puerto_Rico,787,US
622,STANDARD,Boqueron,,Villa Taina,PR,,,787,US
623,STANDARD,Cabo Rojo,,"Alts De Joyuda, Alts Del Mar, Bo Ballaja, Bo Monte Grande, Est De Miramar, Est Reales, Ext Elizabeth, Ext La Concepcion, Ext Parc Elizabeth, Ext Sierra Linda, Haciendas De Belvedere, Haciendas De Cabo Rojo, Haciendas De Miramar, Jard Del Puerto, Mans De Cabo Rojo, Mansiones, Parc Betances, Parc Elizabeth, Parc Las Margaritas, Parc Las 35, Parc Puerto Real, Qtas De Cabo Rojo, Repto Miradero, Repto Oliveras, Urb Alta Vista, Urb Ana Maria, Urb Borinquen, Urb El Retiro, Urb Elizabeth, Urb Kofresi, Urb La Concepcion, Urb Monte Grande, Urb Montesol, Urb Ramirez, Urb Remanso De Cabo Rojo, Urb San Miguel, Urb Sierra Linda, Villa Aida, Villa Del Carmen, Villa Luisa, Villas De Plan Bonito",PR,,,787,US
